name,hero,company,price,pagecount,pubDate,ratio
"Wolverines: Claw, Blade, and Fang",Wolverine,Marvel,15.99,112,May-2015,0.142767857
All-New Captain America: Fear Him,Captain America,Marvel,17.99,172,June-2015,0.104593023
Amazing X-Men: Once and Future Juggernaut,X-Men,Marvel,24.99,192,June-2015,0.13015625
Ant-Man: Second Chance Man,Ant-Man,Marvel,15.99,120,June-2015,0.13325
Batman: Cataclysm,Batman,DC,29.99,464,June-2015,0.064633621
Cyclops: Pirate's Life for Me,Cyclops,Marvel,19.99,160,June-2015,0.1249375
Iron Man: Rings of the Mandarin,Iron Man,Marvel,19.99,136,June-2015,0.146985294
Ms. Marvel: Crushed,Ms. Marvel,Marvel,15.99,112,June-2015,0.142767857
Spider-Woman: Spider-Verse,Spider-Woman,Marvel,15.99,112,June-2015,0.142767857
Amazing Spider-Man: Spider-Verse,Spider-Man,Marvel,24.99,168,July-2015,0.14875
Daredevil: The Daredevil You Know,Daredevil,Marvel,15.99,112,July-2015,0.142767857
Guardians of the Galaxy: Guardians Dissasembled,Guardians of the Galaxy,Marvel,19.99,160,July-2015,0.1249375
Hawkeye: Rio Bravo,Hawkeye,Marvel,17.99,160,July-2015,0.1124375
Legendary Star-Lord: Rise of the Black Vortex,Star Lord,Marvel,19.99,160,July-2015,0.1249375
Savage Wolverine: Best There is,Wolverine,Marvel,19.99,136,July-2015,0.146985294
Storm: Bring Thunder,Storm,Marvel,17.99,136,July-2015,0.132279412
Wolverines: The Living and the Dead,Wolverine,Marvel,15.99,112,July-2015,0.142767857
Amazing Spider-Man: Graveyard Shift,Spider-Man,Marvel,15.99,104,August-2015,0.15375
Captain America: The Tomorrow Soldier,Captain America,Marvel,19.99,136,August-2015,0.146985294
Captain Marvel: Alis Volat Propriis,Captain Marvel,Marvel,12.99,96,August-2015,0.1353125
Iron Fist - The Living Weapon: Redemption,Iron Fist,Marvel,17.99,136,August-2015,0.132279412
The Unbeatable Squirrel Girl: Squirrel Power Volume,Squirrel Girl,Marvel,15.99,128,August-2015,0.124921875
Wolverines: Destiny,Wolverine,Marvel,15.99,112,August-2015,0.142767857
Amazing Spider-Man: Spiral,Spider-Man,Marvel,16.99,112,September-2015,0.151696429
Batman: Graveyard Shift,Batman,DC,16.99,224,September-2015,0.075848214
Deathlok: Man Versus Machine,DeathLok,Marvel,15.99,120,September-2015,0.13325
Moon Knight: In the Night,Moon Knight,Marvel,16.99,136,September-2015,0.124926471
Batman: War Games Book 1,Batman,DC,34.99,464,October-2015,0.075409483
Jessica Jones Alias 4,Jessica Jones,Marvel,19.99,128,October-2015,0.156171875
Rocket Raccoon: A Chasing Tail,Rocket Raccoon,Marvel,19.99,136,October-2015,0.146985294
1872,Other,Marvel,15.99,120,November-2015,0.13325
A-Force - Secret Wars: Warzone,Other,Marvel,16.99,112,November-2015,0.151696429
Age of Apocalypse,X-Men,Marvel,16.99,120,November-2015,0.141583333
All-New X-Men: The Ultimate Adventure,X-Men,Marvel,19.99,136,November-2015,0.146985294
Captain Marvel and the Carol Corps,Captain Marvel,Marvel,15.99,112,November-2015,0.142767857
Daredevil: The Autobiography of Matt Murdock,Daredevil,Marvel,15.99,104,November-2015,0.15375
Guardians of Knowhere,Guardians of the Galaxy,Marvel,15.99,112,November-2015,0.142767857
Guardians of the Galaxy: Original Sin,Guardians of the Galaxy,Marvel,19.99,160,November-2015,0.1249375
Hawkeye: All-New Hawkeye!,Hawkeye,Marvel,15.99,112,November-2015,0.142767857
Jessica Jones Alias 2,Jessica Jones,Marvel,19.99,160,November-2015,0.1249375
Korvac Saga,Guardians of the Galaxy,Marvel,19.99,160,November-2015,0.1249375
Ms. Marvel: Last Days,Ms. Marvel,Marvel,17.99,120,November-2015,0.149916667
